,pin10,est_year_construction,pct_minority,pct_single_partent_families,median_hh_income,pct_hh_below_poverty,pct_hh_with_children,resident_type,hyd_year_stamped,g_label,prob_g_lsl,property_class,neighborhood_code,town_code,type_of_residence,building_square_feet,prior_tax_year_market_value_estimate_(land),prior_tax_year_market_value_estimate_(building),longitude,latitude,census_tract,property_address,age,neighborhood_code.1,prop_to_land_ratio,prob_g_lsl_num,new_res_type,our_pred
0,2930111009,1960,80.06430868,57.91366906,44107,20.96774194,43.88489209,two-story,2012,0.310206327,Assumed Lead,278,130,37,2.0,2063.0,13310.0,118330.0,-87.6711596591997,41.5833827612176,827700.0,16853  CRANE AVE,62,130,8.890308039068369,5,4,3
1,2930125045,1958,80.06430868,57.91366906,44107,20.96774194,43.88489209,1-plus-story,2012,0.396199235,Assumed Lead,202,130,37,5.0,768.0,15010.0,34560.0,-87.6731158691963,41.580632246549,827700.0,2305 W 170TH ST,64,130,2.3024650233177884,5,2,5
2,2825319003,1959,98.17184644,49.22600619,49239,17.18464351,42.10526316,split-level,1996,0.405209649,Assumed Lead,234,260,13,4.0,1411.0,21130.0,78440.0,-87.6913177730858,41.5734290991435,825503.0,3105  LONGFELLOW AVE,63,260,3.712257453857075,5,3,5
3,2930115006,1967,93.56617647,65.33742331,35789,7.720588235,45.39877301,two-story,1988,0.435750531,Assumed Lead,207,130,37,2.0,1823.0,12430.0,76210.0,-87.6663942219633,41.5837200861095,827700.0,16833  SHEA AVE,55,130,6.131134352373291,5,4,5
4,2825321029,1962,98.17184644,49.22600619,49239,17.18464351,42.10526316,one-story,1928,0.514053393,Assumed Lead,203,260,13,1.0,1602.0,35360.0,73160.0,-87.6901783155434,41.5741460100595,825503.0,3017  LONGFELLOW AVE,60,260,2.069004524886878,5,1,5
5,2825321029,1962,98.17184644,49.22600619,49239,17.18464351,42.10526316,one-story,1928,0.514053393,Assumed Lead,203,260,13,1.0,1602.0,35360.0,73160.0,-87.6901783155434,41.5741460100595,825503.0,3017  LONGFELLOW AVE,60,260,2.069004524886878,5,1,5
6,2825327002,1957,98.17184644,49.22600619,49239,17.18464351,42.10526316,one-story,1996,0.52246902,Assumed Lead,203,260,13,1.0,1317.0,16870.0,65250.0,-87.691584453387,41.5723830562588,825503.0,17403  LONGFELLOW AVE,65,260,3.867812685240071,5,1,5
7,2930110016,1961,80.06430868,57.91366906,44107,20.96774194,43.88489209,one-story,2004,0.538852126,Assumed Lead,203,130,37,1.0,1120.0,13310.0,58780.0,-87.6718510637509,41.584146864048,827700.0,16808  CRANE AVE,61,130,4.416228399699474,5,1,3
8,2825328013,1959,98.17184644,49.22600619,49239,17.18464351,42.10526316,split-level,1955,0.552917511,Assumed Lead,234,260,13,4.0,1281.0,13750.0,73020.0,-87.6895377641777,41.5720147454499,825503.0,3004  175TH ST,63,260,5.310545454545455,5,3,5
9,2930130037,1974,93.56617647,65.33742331,35789,7.720588235,45.39877301,one-story,2011,0.555185968,Assumed Lead,202,130,37,1.0,954.0,8520.0,19130.0,-87.6670439730616,41.5796267912581,827700.0,17068  SHEA AVE,48,130,2.245305164319249,5,1,5
